Course Number,Course Title,URL
16.230J,Plates and Shells,https://ocw.aprende.org/courses/mechanical-engineering/2-081j-plates-and-shells-spring-2007
16.31,"Feedback Control Systems
		                               (Fall 2010)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010
16.322,Stochastic Estimation and Control,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-322-stochastic-estimation-and-control-fall-2004
16.323,Principles of Optimal Control,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-323-principles-of-optimal-control-spring-2008
16.333,Aircraft Stability and Control,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-333-aircraft-stability-and-control-fall-2004
16.337J,Dynamics of Nonlinear Systems,https://ocw.aprende.org/courses/electrical-engineering-and-computer-science/6-243j-dynamics-of-nonlinear-systems-fall-2003
16.338J,Dynamic Systems and Control,https://ocw.aprende.org/courses/electrical-engineering-and-computer-science/6-241j-dynamic-systems-and-control-spring-2011
16.346,Astrodynamics,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008
16.355J,Software Engineering Concepts,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-355j-software-engineering-concepts-fall-2005
16.37J,Data Communication Networks,https://ocw.aprende.org/courses/electrical-engineering-and-computer-science/6-263j-data-communication-networks-fall-2002
16.394J,Infinite Random Matrix Theory,https://ocw.aprende.org/courses/mathematics/18-338j-infinite-random-matrix-theory-fall-2004
16.399,Random Matrix Theory and Its Applications,https://ocw.aprende.org/courses/mathematics/18-996-random-matrix-theory-and-its-applications-spring-2004
16.412J,Cognitive Robotics,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-412j-cognitive-robotics-spring-2005
16.413,"Principles of Autonomy and Decision Making
		                               (Fall 2010)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-410-principles-of-autonomy-and-decision-making-fall-2010
16.422,Human Supervisory Control of Automated Systems,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-422-human-supervisory-control-of-automated-systems-spring-2004
16.423J,Aerospace Biomedical and Life Support Engineering,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-423j-aerospace-biomedical-and-life-support-engineering-spring-2006
16.430J,Sensory-Neural Systems: Spatial Orientation from End Organs to Behavior and Adaptation,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-430j-sensory-neural-systems-spatial-orientation-from-end-organs-to-behavior-and-adaptation-spring-2012
16.453,"Human Factors Engineering
		                               (Fall 2011)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-400-human-factors-engineering-fall-2011
16.456J,Biomedical Signal and Image Processing,https://ocw.aprende.org/courses/health-sciences-and-technology/hst-582j-biomedical-signal-and-image-processing-spring-2007
16.459,Bioengineering Journal Article Seminar,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-459-bioengineering-journal-article-seminar-fall-2011
16.512,Rocket Propulsion,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-512-rocket-propulsion-fall-2005
16.522,Space Propulsion,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-522-space-propulsion-spring-2015
16.540,Internal Flows in Turbomachines,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-540-internal-flows-in-turbomachines-spring-2006
16.55,Ionized Gases,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-55-ionized-gases-fall-2014
16.72,Air Traffic Control,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-72-air-traffic-control-fall-2006
16.75J,Airline Management,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-75j-airline-management-spring-2006
16.76J,Logistical and Transportation Planning Methods,https://ocw.aprende.org/courses/civil-and-environmental-engineering/1-203j-logistical-and-transportation-planning-methods-fall-2006
16.77J,Airline Schedule Planning,https://ocw.aprende.org/courses/civil-and-environmental-engineering/1-206j-airline-schedule-planning-spring-2003
16.842,Fundamentals of Systems Engineering,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-842-fundamentals-of-systems-engineering-fall-2015
16.851,Satellite Engineering,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-851-satellite-engineering-fall-2003
16.852J,Integrating the Lean Enterprise,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-852j-integrating-the-lean-enterprise-fall-2005
16.853,"Introduction to Lean Six Sigma Methods
		                               (January IAP 2012)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012
16.861,Engineering Systems Analysis for Design,https://ocw.aprende.org/courses/engineering-systems-division/esd-71-engineering-systems-analysis-for-design-fall-2008
16.862,Engineering Risk-Benefit Analysis,https://ocw.aprende.org/courses/engineering-systems-division/esd-72-engineering-risk-benefit-analysis-spring-2007
16.863J,"System Safety
		                               (Spring 2011)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-863j-system-safety-spring-2011
16.881,Robust System Design,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-881-robust-system-design-summer-1998
16.885J,"Aircraft Systems Engineering
		                               (Fall 2005)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2005
16.885J,"Aircraft Systems Engineering
		                               (Fall 2004)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2004
16.886,Air Transportation Systems Architecting,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-886-air-transportation-systems-architecting-spring-2004
16.888,Multidisciplinary System Design Optimization,https://ocw.aprende.org/courses/engineering-systems-division/esd-77-multidisciplinary-system-design-optimization-spring-2010
16.89J,"Space Systems Engineering
		                               (Spring 2007)",https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-89j-space-systems-engineering-spring-2007
16.891J,Space Policy Seminar,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-891j-space-policy-seminar-spring-2003
16.892J,Space System Architecture and Design,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-892j-space-system-architecture-and-design-fall-2004
16.895J,Engineering Apollo: The Moon Project as a Complex System,https://ocw.aprende.org/courses/science-technology-and-society/sts-471j-engineering-apollo-the-moon-project-as-a-complex-system-spring-2007
16.910J,Introduction to Numerical Simulation (SMA 5211),https://ocw.aprende.org/courses/electrical-engineering-and-computer-science/6-336j-introduction-to-numerical-simulation-sma-5211-fall-2003
16.920J,Numerical Methods for Partial Differential Equations (SMA 5212),https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-920j-numerical-methods-for-partial-differential-equations-sma-5212-spring-2003
16.940J,Computational Geometry,https://ocw.aprende.org/courses/mechanical-engineering/2-158j-computational-geometry-spring-2003
16.982,Bio-Inspired Structures,https://ocw.aprende.org/courses/aeronautics-and-astronautics/16-982-bio-inspired-structures-spring-2009
16.985J,Proseminar in Manufacturing,https://ocw.aprende.org/courses/sloan-school-of-management/15-792j-proseminar-in-manufacturing-fall-2005
21A.00,Introduction to Anthropology,https://ocw.aprende.org/courses/anthropology/21a-00-introduction-to-anthropology-spring-2013
21A.01,How Culture Works,https://ocw.aprende.org/courses/anthropology/21a-01-how-culture-works-fall-2012
21A.110,Anthropological Theory,https://ocw.aprende.org/courses/anthropology/21a-110-anthropological-theory-spring-2003
21A.112,Seminar in Ethnography and Fieldwork,https://ocw.aprende.org/courses/anthropology/21a-112-seminar-in-ethnography-and-fieldwork-spring-2008
21A.113J,"The Supernatural in Music, Literature and Culture",https://ocw.aprende.org/courses/music-and-theater-arts/21m-013j-the-supernatural-in-music-literature-and-culture-fall-2013
21A.114J,Black Matters: Introduction to Black Studies,https://ocw.aprende.org/courses/music-and-theater-arts/21m-630j-black-matters-introduction-to-black-studies-fall-2009
21A.142,Japanese Literature and Cinema,https://ocw.aprende.org/courses/global-studies-and-languages/21g-065-japanese-literature-and-cinema-fall-2013
21A.143J,Gender and Japanese Popular Culture,https://ocw.aprende.org/courses/global-studies-and-languages/21g-039j-gender-and-japanese-popular-culture-fall-2015
21A.150,Teaching and Learning: Cross-Cultural Perspectives,https://ocw.aprende.org/courses/anthropology/21a-150-teaching-and-learning-cross-cultural-perspectives-fall-2014
21A.211,"Magic, Witchcraft, and the Spirit World",https://ocw.aprende.org/courses/anthropology/21a-211-magic-witchcraft-and-the-spirit-world-fall-2003
21A.212,"Myth, Ritual, and Symbolism",https://ocw.aprende.org/courses/anthropology/21a-212-myth-ritual-and-symbolism-spring-2004
21A.215,"Disease and Health: Culture, Society, and Ethics",https://ocw.aprende.org/courses/anthropology/21a-215-disease-and-health-culture-society-and-ethics-spring-2012
21A.217,Anthropology of War and Peace,https://ocw.aprende.org/courses/anthropology/21a-217-anthropology-of-war-and-peace-fall-2004
21A.218J,Identity and Difference,https://ocw.aprende.org/courses/anthropology/21a-218j-identity-and-difference-spring-2010
21A.219,Law and Society,https://ocw.aprende.org/courses/anthropology/21a-219-law-and-society-spring-2003
21A.224J,"Introduction to Latin American Studies
		                               (Fall 2005)",https://ocw.aprende.org/courses/global-studies-and-languages/21g-084j-introduction-to-latin-american-studies-fall-2005
21A.226,Ethnic and National Identity,https://ocw.aprende.org/courses/anthropology/21a-226-ethnic-and-national-identity-fall-2011
21A.230J,The Contemporary American Family,https://ocw.aprende.org/courses/anthropology/21a-230j-the-contemporary-american-family-spring-2004
21A.231J,"Gender, Sexuality, and Society",https://ocw.aprende.org/courses/anthropology/21a-231j-gender-sexuality-and-society-spring-2006
21A.232J,"Rethinking the Family, Sex, and Gender",https://ocw.aprende.org/courses/anthropology/21a-232j-rethinking-the-family-sex-and-gender-fall-2010
21A.235,American Dream: Exploring Class in the U.S.,https://ocw.aprende.org/courses/anthropology/21a-235-american-dream-exploring-class-in-the-u-s-spring-2007
21A.240,Race and Science,https://ocw.aprende.org/courses/anthropology/21a-240-race-and-science-spring-2004
21A.245J,"Power: Interpersonal, Organizational and Global Dimensions",https://ocw.aprende.org/courses/anthropology/21a-245j-power-interpersonal-organizational-and-global-dimensions-fall-2005
21A.260,"Culture, Embodiment and the Senses",https://ocw.aprende.org/courses/anthropology/21a-260-culture-embodiment-and-the-senses-fall-2005
21A.265,Food and Culture,https://ocw.aprende.org/courses/anthropology/21a-265-food-and-culture-spring-2011
21A.270,Anthropology Through Speculative Fiction,https://ocw.aprende.org/courses/anthropology/21a-270-anthropology-through-speculative-fiction-fall-2009
21A.302J,Dilemmas in Bio-Medical Ethics: Playing God or Doing Good?,https://ocw.aprende.org/courses/anthropology/21a-302j-dilemmas-in-bio-medical-ethics-playing-god-or-doing-good-fall-2013
21A.303J,Anthropology of Biology,https://ocw.aprende.org/courses/anthropology/21a-303j-anthropology-of-biology-fall-2013
21A.319,History and Anthropology of Medicine and Biology,https://ocw.aprende.org/courses/science-technology-and-society/sts-330-history-and-anthropology-of-medicine-and-biology-spring-2013
21A.336,"Marketing, Microchips and McDonalds: Debating Globalization",https://ocw.aprende.org/courses/anthropology/21a-336-marketing-microchips-and-mcdonalds-debating-globalization-spring-2004
21A.337J,Documenting Culture,https://ocw.aprende.org/courses/anthropology/21a-337j-documenting-culture-spring-2004
21A.338J,"Gender, Power, and International Development",https://ocw.aprende.org/courses/anthropology/21a-338j-gender-power-and-international-development-fall-2003
21A.341J,"Energy Decisions, Markets, and Policies",https://ocw.aprende.org/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012
21A.342,Environmental Struggles,https://ocw.aprende.org/courses/anthropology/21a-342-environmental-struggles-fall-2004
21A.344J,"Drugs, Politics, and Culture",https://ocw.aprende.org/courses/science-technology-and-society/sts-062j-drugs-politics-and-culture-spring-2006
21A.348,Photography and Truth,https://ocw.aprende.org/courses/anthropology/21a-348-photography-and-truth-spring-2008
21A.350J,Cultures of Computing,https://ocw.aprende.org/courses/anthropology/21a-350j-cultures-of-computing-fall-2011
21A.360J,The Anthropology of Sound,https://ocw.aprende.org/courses/anthropology/21a-360j-the-anthropology-of-sound-spring-2008
21A.411J,"People and Other Animals
		                               (Fall 2013)",https://ocw.aprende.org/courses/history/21h-380j-people-and-other-animals-fall-2013
21A.430J,"Introduction to Latin American Studies
		                               (Fall 2006)",https://ocw.aprende.org/courses/political-science/17-55j-introduction-to-latin-american-studies-fall-2006
21A.441,The Conquest of America,https://ocw.aprende.org/courses/anthropology/21a-441-the-conquest-of-america-spring-2004
21A.442J,"Violence, Human Rights, and Justice",https://ocw.aprende.org/courses/anthropology/21a-442j-violence-human-rights-and-justice-fall-2014
21A.445J,Slavery and Human Trafficking in the 21st Century,https://ocw.aprende.org/courses/anthropology/21a-445j-slavery-and-human-trafficking-in-the-21st-century-spring-2015
21A.453,Anthropology of the Middle East,https://ocw.aprende.org/courses/anthropology/21a-453-anthropology-of-the-middle-east-spring-2004
21A.460J,"Medicine, Religion and Politics in Africa and the African Diaspora",https://ocw.aprende.org/courses/anthropology/21a-460j-medicine-religion-and-politics-in-africa-and-the-african-diaspora-spring-2005
21A.461,What is Capitalism?,https://ocw.aprende.org/courses/anthropology/21a-461-what-is-capitalism-fall-2013
21A.470J,Gender and Representation of Asian Women,https://ocw.aprende.org/courses/anthropology/21a-470j-gender-and-representation-of-asian-women-spring-2010
21A.500J,Technology and Culture,https://ocw.aprende.org/courses/anthropology/21a-500j-technology-and-culture-spring-2014
21A.501J,"Art, Craft, Science",https://ocw.aprende.org/courses/anthropology/21a-501j-art-craft-science-spring-2013
21A.506,The Business of Politics: A View of Latin America,https://ocw.aprende.org/courses/anthropology/21a-506-the-business-of-politics-a-view-of-latin-america-spring-2014
21A.550J,DV Lab: Documenting Science Through Video and New Media,https://ocw.aprende.org/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012
21A.801J,"Cross-Cultural Investigations: Technology and Development
		                               (Fall 2012)",https://ocw.aprende.org/courses/anthropology/21a-801j-cross-cultural-investigations-technology-and-development-fall-2012
21A.419J,"People and Other Animals
		                               (Fall 2013)",https://ocw.aprende.org/courses/history/21h-380j-people-and-other-animals-fall-2013
21A.750J,Social Theory and Analysis,https://ocw.aprende.org/courses/anthropology/21a-750j-social-theory-and-analysis-fall-2011
21A.839J,"Cross-Cultural Investigations: Technology and Development
		                               (Fall 2012)",https://ocw.aprende.org/courses/anthropology/21a-801j-cross-cultural-investigations-technology-and-development-fall-2012
21A.850J,The Anthropology of Cybercultures,https://ocw.aprende.org/courses/anthropology/21a-850j-the-anthropology-of-cybercultures-spring-2009
4.001J,CityScope: New Orleans,https://ocw.aprende.org/courses/architecture/4-001j-cityscope-new-orleans-spring-2007
4.101,Experiencing Architecture Studio,https://ocw.aprende.org/courses/architecture/4-101-experiencing-architecture-studio-spring-2003
4.104,Architecture Studio: Intentions,https://ocw.aprende.org/courses/architecture/4-104-architecture-studio-intentions-spring-2005
4.104,Architectural Design: Intentions,https://ocw.aprende.org/courses/architecture/4-104-architectural-design-intentions-spring-2004
4.110J,"Design Across Scales, Disciplines and Problem Contexts
		                               (Spring 2013)",https://ocw.aprende.org/courses/architecture/4-110j-design-across-scales-disciplines-and-problem-contexts-spring-2013
4.111,Introduction to Architecture & Environmental Design,https://ocw.aprende.org/courses/architecture/4-111-introduction-to-architecture-environmental-design-spring-2014
4.112,Architecture Design Fundamentals I: Nano-Machines,https://ocw.aprende.org/courses/architecture/4-112-architecture-design-fundamentals-i-nano-machines-fall-2012
4.125,"Architecture Studio: Building in Landscapes
		                               (Fall 2002)",https://ocw.aprende.org/courses/architecture/4-125-architecture-studio-building-in-landscapes-fall-2002
4.125A,"Architecture Studio: Building in Landscapes
		                               (Fall 2005)",https://ocw.aprende.org/courses/architecture/4-125a-architecture-studio-building-in-landscapes-fall-2005
4.125B,"Architecture Studio: Building in Landscapes
		                               (Fall 2005)",https://ocw.aprende.org/courses/architecture/4-125b-architecture-studio-building-in-landscapes-fall-2005
4.170,"Ecuador Workshop
		                               (Fall 2006)",https://ocw.aprende.org/courses/architecture/4-170-ecuador-workshop-fall-2006
4.191,Introduction to Integrated Design,https://ocw.aprende.org/courses/architecture/4-191-introduction-to-integrated-design-fall-2006
4.205,Analysis of Contemporary Architecture,https://ocw.aprende.org/courses/architecture/4-205-analysis-of-contemporary-architecture-fall-2009
4.211J,The Once and Future City,https://ocw.aprende.org/courses/urban-studies-and-planning/11-016j-the-once-and-future-city-spring-2006
4.243J,Media Technology and City Design and Development,https://ocw.aprende.org/courses/urban-studies-and-planning/11-310j-media-technology-and-city-design-and-development-spring-2002
4.250J,"Introduction to Urban Design and Development
		                               (Spring 2006)",https://ocw.aprende.org/courses/urban-studies-and-planning/11-001j-introduction-to-urban-design-and-development-spring-2006
4.301,Introduction to the Visual Arts,https://ocw.aprende.org/courses/architecture/4-301-introduction-to-the-visual-arts-spring-2007
4.302,BSAD Foundations in the Visual Arts,https://ocw.aprende.org/courses/architecture/4-302-bsad-foundations-in-the-visual-arts-fall-2003
4.322,Introduction to Sculpture,https://ocw.aprende.org/courses/architecture/4-322-introduction-to-sculpture-fall-2003
4.341,Introduction to Photography and Related Media,https://ocw.aprende.org/courses/architecture/4-341-introduction-to-photography-and-related-media-fall-2007
4.341,Introduction to Photography,https://ocw.aprende.org/courses/architecture/4-341-introduction-to-photography-fall-2002
4.351,Introduction to Video,https://ocw.aprende.org/courses/architecture/4-351-introduction-to-video-spring-2004
4.366,Advanced Projects in the Visual Arts: Personal Narrative,https://ocw.aprende.org/courses/architecture/4-366-advanced-projects-in-the-visual-arts-personal-narrative-spring-2004
4.401,Introduction to Building Technology,https://ocw.aprende.org/courses/architecture/4-401-introduction-to-building-technology-spring-2006
4.411,Building Technology Laboratory,https://ocw.aprende.org/courses/architecture/4-411-building-technology-laboratory-spring-2004
4.42J,Fundamentals of Energy in Buildings,https://ocw.aprende.org/courses/architecture/4-42j-fundamentals-of-energy-in-buildings-fall-2010
4.440,"Basic Structural Design
		                               (Spring 2009)",https://ocw.aprende.org/courses/architecture/4-440-basic-structural-design-spring-2009
4.500,Introduction to Design Computing,https://ocw.aprende.org/courses/architecture/4-500-introduction-to-design-computing-fall-2008
4.501,Architectural Construction and Computation,https://ocw.aprende.org/courses/architecture/4-501-architectural-construction-and-computation-fall-2005
4.520,"Computational Design I: Theory and Applications
		                               (Fall 2005)",https://ocw.aprende.org/courses/architecture/4-520-computational-design-i-theory-and-applications-fall-2005
4.602,Modern Art and Mass Culture,https://ocw.aprende.org/courses/architecture/4-602-modern-art-and-mass-culture-spring-2012
4.605,Introduction to the History and Theory of Architecture,https://ocw.aprende.org/courses/architecture/4-605-introduction-to-the-history-and-theory-of-architecture-spring-2012
4.609,"The Art Museum: History, Theory, Controversy",https://ocw.aprende.org/courses/architecture/4-609-the-art-museum-history-theory-controversy-spring-2014
4.614,Religious Architecture and Islamic Cultures,https://ocw.aprende.org/courses/architecture/4-614-religious-architecture-and-islamic-cultures-fall-2002
4.615,The Architecture of Cairo,https://ocw.aprende.org/courses/architecture/4-615-the-architecture-of-cairo-spring-2002
4.651,Art Since 1940,https://ocw.aprende.org/courses/architecture/4-651-art-since-1940-fall-2010
4.A21,Stories Without Words: Photographing the First Year,https://ocw.aprende.org/courses/architecture/4-a21-stories-without-words-photographing-the-first-year-fall-2006
4.105,Geometric Disciplines and Architecture Skills: Reciprocal Methodologies,https://ocw.aprende.org/courses/architecture/4-105-geometric-disciplines-and-architecture-skills-reciprocal-methodologies-fall-2012
4.107,MArch Portfolio Seminar,https://ocw.aprende.org/courses/architecture/4-107-march-portfolio-seminar-fall-2003
4.123,"Architectural Design, Level I: Perceptions and Processes",https://ocw.aprende.org/courses/architecture/4-123-architectural-design-level-i-perceptions-and-processes-fall-2003
4.131,"Architectural Design, Level II: Material Essence: The Glass House",https://ocw.aprende.org/courses/architecture/4-131-architectural-design-level-ii-material-essence-the-glass-house-fall-2003
4.131B,"Architectural Design, Level II: Material and Tectonic Transformations: The Herreshoff Museum",https://ocw.aprende.org/courses/architecture/4-131b-architectural-design-level-ii-material-and-tectonic-transformations-the-herreshoff-museum-fall-2003
4.132,"Architecture Design, Level II: Cuba Studio
		                               (Spring 2004)",https://ocw.aprende.org/courses/architecture/4-196-architecture-design-level-ii-cuba-studio-spring-2004
4.143,Immaterial Limits: Process and Duration,https://ocw.aprende.org/courses/architecture/4-143-immaterial-limits-process-and-duration-fall-2002
4.144,"Architectural Design, Level II: New Orleans Studio",https://ocw.aprende.org/courses/architecture/4-144-architectural-design-level-ii-new-orleans-studio-spring-2006
4.155B,"Architectural Design, Level III: A Student Center for MIT",https://ocw.aprende.org/courses/architecture/4-155b-architectural-design-level-iii-a-student-center-for-mit-fall-2004
4.163J,Urban Design Studio: Providence,https://ocw.aprende.org/courses/architecture/4-163j-urban-design-studio-providence-spring-2005
4.163J,Urban Design,https://ocw.aprende.org/courses/urban-studies-and-planning/11-332j-urban-design-fall-2003
4.166,"Beijing Urban Design Studio
		                               (Summer 2008)",https://ocw.aprende.org/courses/urban-studies-and-planning/11-307-beijing-urban-design-studio-summer-2008
4.166,"Beijing Urban Design Studio
		                               (Summer 2006)",https://ocw.aprende.org/courses/urban-studies-and-planning/11-307-beijing-urban-design-studio-summer-2006
4.171,"Ecuador Workshop
		                               (Fall 2006)",https://ocw.aprende.org/courses/architecture/4-170-ecuador-workshop-fall-2006
4.171,The Space Between Workshop,https://ocw.aprende.org/courses/architecture/4-171-the-space-between-workshop-fall-2004
4.175,Case Studies in City Form,https://ocw.aprende.org/courses/architecture/4-175-case-studies-in-city-form-fall-2005
4.183,Sustainable Design and Technology Research Workshop,https://ocw.aprende.org/courses/architecture/4-183-sustainable-design-and-technology-research-workshop-spring-2004
4.184,Architectural Design Workshop: Collage - Method and Form,https://ocw.aprende.org/courses/architecture/4-184-architectural-design-workshop-collage-method-and-form-spring-2004
4.184,Architectural Design Workshops: Computational Design for Housing,https://ocw.aprende.org/courses/architecture/4-184-architectural-design-workshops-computational-design-for-housing-spring-2002
4.185J,"Beijing Urban Design Studio
		                               (Summer 2004)",https://ocw.aprende.org/courses/urban-studies-and-planning/11-946j-beijing-urban-design-studio-summer-2004
4.195,Special Problems in Architectural Design,https://ocw.aprende.org/courses/architecture/4-195-special-problems-in-architectural-design-spring-2005
4.196,"Architecture Design, Level II: Cuba Studio
		                               (Spring 2004)",https://ocw.aprende.org/courses/architecture/4-196-architecture-design-level-ii-cuba-studio-spring-2004
4.210,Precedents in Critical Practice,https://ocw.aprende.org/courses/architecture/4-210-precedents-in-critical-practice-fall-2012
